entity_id,name,primary_direction,secondary_direction_1,secondary_direction_2,entity_type,official_url,official_docs,official_github,official_events,official_press_or_ir,status,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,next_action
sky,Sky,defi,rwa-tokenization,dao-governance-treasury,project,https://sky.money/,https://docs.sky.money/,https://github.com/makerdao,,https://vote.makerdao.com/,watch,,,,,,,,,Track stable DeFi and governance shift
curve,Curve,defi,payments-stablecoins-settlement,,project,https://curve.fi/,,https://github.com/curvefi,,https://resources.curve.finance/,watch,,,,,,,,,Track stable liquidity infrastructure
dydx,dYdX,defi,protocols,,project,https://dydx.xyz/,https://docs.dydx.xyz/,https://github.com/dydxprotocol,,https://www.dydx.foundation/blog,watch,,,,,,,,,Track derivatives infrastructure
securitize,Securitize,rwa-tokenization,payments-stablecoins-settlement,enterprise-standards-interoperability,company,https://www.securitize.io/,https://docs.securitize.io/,,https://www.securitize.io/events,https://www.securitize.io/press,watch,,,,,,,,,Track tokenization and institutional issuance signals
centrifuge,Centrifuge,rwa-tokenization,defi,,project,https://centrifuge.io/,https://docs.centrifuge.io/,https://github.com/centrifuge,,https://centrifuge.io/blog/,watch,,,,,,,,,Track tokenization rails and ecosystem docs
ondo,Ondo,rwa-tokenization,payments-stablecoins-settlement,,company,https://ondo.finance/,https://docs.ondo.finance/,,https://ondo.finance/,https://ondo.finance/blog,watch,,,,,,,,,Track RWA and treasury products
polymesh,Polymesh,rwa-tokenization,enterprise-standards-interoperability,,project,https://polymesh.network/,https://developers.polymesh.network/,https://github.com/PolymeshAssociation,,https://polymesh.network/blog/,watch,,,,,,,,,Track regulated asset chain infrastructure
aragon,Aragon,dao-governance-treasury,developer-tools,,project,https://aragon.org/,https://docs.aragon.org/,https://github.com/aragon,,https://blog.aragon.org/,watch,,,,,,,,,Track DAO operating system signals
snapshot,Snapshot,dao-governance-treasury,developer-tools,,project,https://snapshot.box/,https://docs.snapshot.box/,https://github.com/snapshot-labs,,https://snapshot.box/#/about,watch,,,,,,,,,Track governance tooling signals
tally,Tally,dao-governance-treasury,protocols,,company,https://www.tally.xyz/,https://docs.tally.xyz/,https://github.com/withtally,,https://www.tally.xyz/resources,watch,,,,,,,,,Track governance and delegation infrastructure
gnosisguild,Gnosis Guild,dao-governance-treasury,developer-tools,,company,https://www.gnosisguild.org/,https://docs.gnosisguild.org/,https://github.com/gnosisguild,,https://www.gnosisguild.org/articles,watch,,,,,,,,,Track DAO contributor tooling
chainalysis,Chainalysis,compliance-risk-forensics,data-infrastructure,education-media-events-research,company,https://www.chainalysis.com/,https://www.chainalysis.com/solutions/,,https://www.chainalysis.com/events/,https://www.chainalysis.com/blog/,ranked,,,,,,,,,Track analytics and compliance market signals
trm,TRM Labs,compliance-risk-forensics,data-infrastructure,,company,https://www.trmlabs.com/,https://www.trmlabs.com/resources,,https://www.trmlabs.com/events,https://www.trmlabs.com/resources,watch,,,,,,,,,Track risk and compliance signals
elliptic,Elliptic,compliance-risk-forensics,data-infrastructure,,company,https://www.elliptic.co/,https://www.elliptic.co/resources,,https://www.elliptic.co/events,https://www.elliptic.co/blog,watch,,,,,,,,,Track forensics and policy-facing signals
merklescience,Merkle Science,compliance-risk-forensics,data-infrastructure,,company,https://www.merklescience.com/,https://www.merklescience.com/resources,,https://www.merklescience.com/events,https://www.merklescience.com/blog,watch,,,,,,,,,Track monitoring and risk signals
